dx,xed1,xed2,xed3,xed4,cases
9947,0,1,0,0,1
9950,0,0,0,1,1
9951,0,0,0,1,2
9952,0,0.6363636364,0,0.3636363636,11
9953,0,0.875,0,0.125,32
9955,0,0.4,0,0.6,5
99581,0,1,0,0,1
99659,0,0,0,1,1
99670,0,1,0,0,1
99673,0,1,0,0,1
99676,0,0,0,1,1
9970,0,0,0,1,1
9973,0,0,0,1,1
9974,0,1,0,0,1
99760,0,1,0,0,1
9981,0,0.75,0,0.25,4
9983,0,1,0,0,2
99883,0,1,0,0,1
99989,0,1,0,0,1
E8197,0,0,0,1,1
E8199,0,1,0,0,1
E969,0,1,0,0,1
V037,1,0,0,0,1
V045,1,0,0,0,8
V202,0.5,0.5,0,0,2
V221,0,1,0,0,1
V222,0.5789473684,0.3684210526,0,0.0526315789,19
V412,0,0,0,1,1
V4589,1,0,0,0,1
V479,1,0,0,0,1
V501,1,0,0,0,1
V548,0.6666666667,0.3333333333,0,0,3
V551,0.3333333333,0.3333333333,0,0.3333333333,3
V583,0.8947368421,0.0526315789,0,0.0526315789,38
V5889,0,1,0,0,1
V642,0.5,0.5,0,0,2
V655,0.347826087,0.6086956522,0,0.0434782609,23
V662,0,1,0,0,1
V670,0.3333333333,0.3333333333,0,0.3333333333,3
V6759,0.8,0.2,0,0,5
V679,0.8571428571,0.1428571429,0,0,7
V681,0.8235294118,0.1176470588,0,0.0588235294,17
V6881,0,1,0,0,1
V708,1,0,0,0,5
V715,0,0,0,1,1
V718,1,0,0,0,1
V719,1,0,0,0,5
V72,1,0,0,0,3
V741,1,0,0,0,5
V802,1,0,0,0,1
7992,1,0,0,0,2
7999,0,0.5,0,0.5,2
8020,0,0.7142857143,0,0.2857142857,7
80220,0,0,0,1,3
8028,0,1,0,0,1
80311,0,0,0,1,1
8040,0,1,0,0,1
80700,0,0.3333333333,0,0.6666666667,3
80701,0,0.5,0,0.5,2
81000,0,0.2,0,0.8,5
81200,0,0.125,0,0.875,8
81341,0,0.4285714286,0,0.5714285714,14
81383,0,0.3333333333,0,0.6666666667,3
81401,0,0,0,1,1
81500,0,0.6,0,0.4,20
81610,0,0,0,1,2
81612,0,1,0,0,2
8199,0,0.5,0,0.5,2
8208,0,0.4,0,0.6,5
82100,0,1,0,0,1
82121,0,0,0,1,1
8220,0,1,0,0,1
82382,0,0,0,1,5
82390,0,0,0,1,1
82408,0,0,0,1,1
8242,0,0.25,0,0.75,12
82520,0,0.6428571429,0,0.3571428571,14
8270,0,0.5,0,0.5,2
83100,0,0.6666666667,0,0.3333333333,6
83200,0,1,0,0,5
83300,0,1,0,0,1
83400,0,0,0,1,1
8362,0,1,0,0,1
8363,0,1,0,0,2
8398,0,0,0,1,1
8409,0,0.3333333333,0,0.6666666667,6
8418,0,0.5,0,0.5,2
84200,0,0.7,0,0.3,10
84209,0,1,0,0,2
8438,0,1,0,0,2
8439,0,0.5555555556,0,0.4444444444,9
8448,0,0.7777777778,0,0.2222222222,9
84500,0,0.6909090909,0,0.3090909091,55
84519,0,1,0,0,1
8460,0,0.9,0,0.1,10
8470,0,0.5833333333,0,0.4166666667,12
8472,0,1,0,0,1
8485,0,1,0,0,1
8488,0,1,0,0,3
8489,0,0.5,0,0.5,8
850,0,0,0,1,3
85181,0,0,0,1,1
854,0,0.3333333333,0,0.6666666667,3
8700,0,1,0,0,1
8708,0,0.6666666667,0,0.3333333333,6
87201,0,0,0,1,2
8730,0,0.1904761905,0,0.8095238095,42
8730E,0,0,0,1,1
87320,0,0.3012048193,0,0.6987951807,83
87349,0,0.2,0,0.8,5
87351,0,0,0,1,1
87363,0,0.7777777778,0,0.2222222222,9
8744,0,0.5,0,0.5,2
8750,0,0,0,1,5
8782,0,1,0,0,2
8784,0,0,0,1,1
87908,0,1,0,0,1
8792,0,0,0,1,3
8798,0,0.3684210526,0,0.6315789474,19
88000,0,0.35,0,0.65,20
88101,0,1,0,0,1
88102,0,0.425,0,0.575,40
88120,0,0,0,1,1
8822,0,0,0,1,1
88220,0,0,0,1,1
8830,0,0.5,0,0.5,62
8850,0,1,0,0,1
8860,0,0,0,1,1
8900,0,0.4545454545,0,0.5454545455,22
8901,0,0,0,1,1
8920,0,0.7333333333,0,0.2666666667,15
8940,0,1,0,0,1
9052,0,0,0,1,1
9060,0,0.6,0,0.4,5
9061,0,1,0,0,1
9100,0,0.72,0,0.28,25
9101,0,1,0,0,2
9105,0,1,0,0,4
9111,0,0.5,0,0.5,2
9135,0,1,0,0,4
9141,0,1,0,0,2
9145,0,1,0,0,1
9155,0,1,0,0,1
9156,0,0.5,0,0.5,2
9161,0,0,0,1,2
9162,0,1,0,0,1
9175,0,1,0,0,1
9181,0,0.2857142857,0,0.7142857143,7
9191,0,0,0,1,1
9194,0,0.9444444444,0,0.0555555556,18
920,0,0.5729166667,0,0.4270833333,96
9211,0,1,0,0,1
9221,0,0.6428571429,0,0.3571428571,14
92231,0,0.3333333333,0,0.6666666667,9
9224,0,0,0,1,1
92300,0,0.6842105263,0,0.3157894737,38
92303,0,1,0,0,2
92321,0,1,0,0,3
92400,0,0.6857142857,0,0.3142857143,35
92410,0,1,0,0,3
9248,0,0.5882352941,0,0.4117647059,17
9249,0,0.5769230769,0,0.4230769231,26
9273,0,0.8,0,0.2,5
9300,0,0,0,1,1
9301,0,0,0,1,1
9308,0,1,0,0,1
9309,0,0.75,0,0.25,4
931,0,0.4444444444,0,0.5555555556,18
932,0,0.6666666667,0,0.3333333333,3
933,0,0.5,0,0.5,2
9350,0,1,0,0,1
936,0,0.25,0,0.75,4
9409,0,0,0,1,1
94100,0,0,0,1,1
94118,0,0,0,1,1
94120,0,0.6,0,0.4,10
94401,0,1,0,0,1
94410,0,1,0,0,1
94420,0,0.5,0,0.5,2
94423,0,0,0,1,2
94504,0,0,0,1,1
9493,0,1,0,0,1
9523,0,0,0,1,1
9579,0,0,0,1,1
9583,0,0.5,0,0.5,2
95901,0,1,0,0,2
95909,0,1,0,0,1
9591,0,0.8,0,0.2,5
9593,0,1,0,0,3
9594,0,1,0,0,1
9595,0,0,0,1,3
9596,0,0.5,0,0.5,2
9597,0,0.8,0,0.2,15
9599,0,0.8,0,0.2,20
9620,0,1,0,0,1
9654,0,0,0,1,2
9661,0,0,0,1,1
9688E,0,1,0,0,1
0030,0,1,0,0,1
0059,0.3714285714,0.4571428571,0,0.1714285714,35
0090,1,0,0,0,1
01190,0,0,1,0,1
03400,0,1,0,0,1
0341,0.3333333333,0.6666666667,0,0,9
035,0,1,0,0,1
0381,0,0.2307692308,0,0.7692307692,26
03810,0,1,0,0,1
042,0.0666666667,0,0,0.9333333333,15
0529,0.4666666667,0.4666666667,0,0.0666666667,15
0539,0.75,0.25,0,0,4
05410,0,0.5,0,0.5,2
0549,0.75,0,0,0.25,4
